Scanning 127 channels through 16 RSSI levels

        <lower ------------------- rssi levels ------------------- higher>
channel    0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
0        255 255 255 255 255 255 255 255 255 255 255 255 222   0   0   0
1        255 255 255 255 255 255 255 255 249  13   1   0   2   0   2   0
2        255 255 255 255 255 255 255 255 255 255 255 253  65   0   1   0
3        255 255 255 255 255 255 255 255 255 251   2   0   2   0   1   0
4        255 255 255 255 255 255 255 255 255  44   3   2   2   1   0   0
5        255 255 255 255 255 255 255 255 254  42   6   6   3   0   0   0
6        255 255 255 255 255 255 255 255 253  99   8   6   7  11   0   0
7        255 255 255 255 255 255 255 255 254 127  23   6   5   4   6   6
8        255 255 255 255 255 255 255 255 254 127  31  31  33  23   5   6
9        255 255 255 255 255 255 255 255 255 179  31  32  33  30  32  29
10       255 255 255 255 255 255 255 255 255 221  42  39  42  35  22  14
11       255 255 255 255 255 255 255 255 255 226   8   6   6   6   6   6
12       255 255 255 255 255 255 255 255 255 255  31   5   6   5   6   6
13       255 255 255 255 255 255 255 255 255 247 121  69   7   6   6   6
14       255 255 255 255 255 255 255 255 255 255 228   6   7   6   5   5
15       255 255 255 255 255 255 255 255 255 255 255 255 255   8   6   7
16       255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254
17       255 255 255 255 255 255 255 255 255 255 255 255 255 255 252   0
18       255 255 255 255 255 255 255 255 255 255 255  82   0   0   0   0
19       255 255 255 255 255 255 255 255 255 255  20   0   0   0   0   0
20       255 255 255 255 255 255 255 255 255 252  17   0   0   0   0   0
21       255 255 255 255 255 255 255 255 255 201 107   7   2   0   0   0
22       255 255 255 255 255 255 255 255 255 246  14  10   4   0   0   0
23       255 255 255 255 255 255 255 255 255 246  16   6   7   3   0   0
24       255 255 255 255 255 255 255 255 255 239  12   7   9   6   3   2
25       255 255 255 255 255 255 255 255 255 221 125  13   7   9   1   3
26       255 255 255 255 255 255 255 255 255 237  11   9   7  10   2   2
27       255 255 255 255 255 255 255 255 255 242   9   9   9   6   3   3
28       255 255 255 255 255 255 255 255 255 204  10   7  10   7   4   2
29       255 255 255 255 255 255 255 255 255 174   7   8   7   9   6   1
30       255 255 255 255 255 255 255 255 255 255 255 249  13   7   4   3
31       255 255 255 255 255 255 255 255 255 246  15  13  12   9   2   3
32       255 255 255 255 255 255 255 255 255 255 255 251  20   3   3   3
33       255 255 255 255 255 255 255 255 255  90   7   3   3   3   2   2
34       255 255 255 255 255 255 255 255 255 126   5   4   2   3   3   3
35       255 255 255 255 255 255 255 255 253  80   6   3   3   3   3   3
36       255 255 255 255 255 255 255 255 255  57   4   3   4   2   2   3
37       255 255 255 255 255 255 255 255 255 121   7   4   4   4   2   3
38       255 255 255 255 255 255 255 255 255 249  12   3   2   3   4   3
39       255 255 255 255 255 255 255 255 255 235   5   3   3   3   3   2
40       255 255 255 255 255 255 255 255 255 211   4   4   2   4   2   3
41       255 255 255 255 255 255 255 255 255 216  11   3   4   3   1   0
42       255 255 255 255 255 255 255 255 255 104   5   5   3   1   0   0
43       255 255 255 255 255 255 255 255 255 255  11   5   1   0   0   0
44       255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255
45       255 255 255 255 255 255 255 255 255 255 255 255 255 255 255   0
46       255 255 255 255 255 255 255 255 255 255 255  44   4   4   3   2
47       255 255 255 255 255 255 255 255 255 255 255 255  10   4   5   5
48       255 255 255 255 255 255 255 255 255 255 255 255 255 255  37   5
49       255 255 255 255 255 255 255 255 255 248 151  29  14   9   5   6
50       255 255 255 255 255 255 255 255 255 253 199  12   9   7   5   5
51       255 255 255 255 255 255 255 255 255 235  50   6   4   6   5   4
52       255 255 255 255 255 255 255 255 255 131  13  10  10   8   7   6
53       255 255 255 255 255 255 255 255 252  39   9   7   6   5   5   6
54       255 255 255 255 255 255 255 255 254  52   8   5   7   5   6   4
55       255 255 255 255 255 255 255 255 254 190   6   5   6   6   7   9
56       255 255 255 255 255 255 255 255 255 112   8   9   6   6   7   6
57       255 255 255 255 255 255 255 255 255 174  10   7   7   5   5   6
58       255 255 255 255 255 255 255 255 255 255 255 216  24   8   7   7
59       255 255 255 255 255 255 255 255 255 255 255 237  15   5   8   6
60       255 255 255 255 255 255 255 255 255 235  12  12   7   7   8   5
61       255 255 255 255 255 255 255 255 255  69  11   9   6   8   9   6
62       255 255 255 255 255 255 255 255 255 191  14   6   6   7  10   8
63       255 255 255 255 255 255 255 255 255 255  38  17  15  16  17  22
64       255 255 255 255 255 255 255 255 255 255 243  13  11  13  13  16
65       255 255 255 255 255 255 255 255 255  72  16  16  12   9  11  11
66       255 255 255 255 255 255 255 255 255 126  12   9   7   6   4   4
67       255 255 255 255 255 255 255 255 254 204  34  17  17  16  20  15
68       255 255 255 255 255 255 255 255 255 227 145  46  22  23  24  18
69       255 255 255 255 255 255 255 255 255 244 120  20  16  12  11   2
70       255 255 255 255 255 255 255 255 255 244  64  13  12   7   1   2
71       255 255 255 255 255 255 255 255 255 210  14   6   7   6   6   5
72       255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 251
73       255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255
74       255 255 255 255 255 255 255 255 255 255 255 255 255   0   0   1
75       255 255 255 255 255 255 255 255 255 255   6   1   0   0   0   1
76       255 255 255 255 255 255 255 255 255 140   4   0   1   0   0   0
77       255 255 255 255 255 255 255 255 255 203   0   1   1   0   0   0
78       255 255 255 255 255 255 255 255 255 215   0   1   0   0   0   1
79       255 255 255 255 255 255 255 255 255 255 253   0   2   2   0   0
80       255 255 255 255 255 255 255 255 255 255 255 255 231   1   1   5
81       255 255 255 255 255 255 255 255 255 102   1   1   1   1   0   1
82       255 255 255 255 255 255 255 255 254  87   0   1   0   2   0   0
83       255 255 255 255 255 255 255 255 255 188   0   0   1   0   0   0
84       255 255 255 255 255 255 255 255 255 224  11   0   0   1   0   0
85       255 255 255 255 255 255 255 255 255 169   1   1   1   0   0   0
86       255 255 255 255 255 255 255 255 255 255 255  20   0   0   0   0
87       255 255 255 255 255 255 255 255 255 255 255 255 255 247   0   0
88       255 255 255 255 255 255 255 255 255 255 183   0   0   0   0   0
89       255 255 255 255 255 255 255 255 255 197   0   0   0   0   0   0
90       255 255 255 255 255 255 255 255 255 192   0   0   0   0   0   0
91       255 255 255 255 255 255 255 255 255 172   0   0   0   0   0   0
92       255 255 255 255 255 255 255 255 255 144   0   0   0   0   0   0
93       255 255 255 255 255 255 255 255 255 160   0   0   0   0   0   0
94       255 255 255 255 255 255 255 255 255 243   1   0   0   0   0   0
95       255 255 255 255 255 255 255 255 255 255  85   0   0   0   0   0
96       255 255 255 255 255 255 255 255 255 254 152   0   0   0   0   0
97       255 255 255 255 255 255 255 255 255 249  18   0   0   0   0   0
98       255 255 255 255 255 255 255 255 255 252   7   0   0   0   0   0
99       255 255 255 255 255 255 255 255 255 212   0   0   0   0   0   0
100      255 255 255 255 255 255 255 255 255 255 255 255 255 255   0   0
101      255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255
102      255 255 255 255 255 255 255 255 255 255 255 255 255 255   0   0
103      255 255 255 255 255 255 255 255 255 255 255   0   0   0   0   0
104      255 255 255 255 255 255 255 255 255 242   0   0   0   0   0   0
105      255 255 255 255 255 255 255 255 255 212   0   0   0   0   0   0
106      255 255 255 255 255 255 255 255 255 189   0   0   0   0   0   0
107      255 255 255 255 255 255 255 255 255 123   0   0   0   0   0   0
108      255 255 255 255 255 255 255 255 255 189   0   0   0   0   0   0
109      255 255 255 255 255 255 255 255 255 128   0   0   0   0   0   0
110      255 255 255 255 255 255 255 255 255 179   0   0   0   0   0   0
111      255 255 255 255 255 255 255 255 255 255 197   0   0   0   0   0
112      255 255 255 255 255 255 255 255 255 255 255 250  33   0   0   0
113      255 255 255 255 255 255 255 255 255 254  85   0   0   0   0   0
114      255 255 255 255 255 255 255 255 255 254  31   0   0   0   0   0
115      255 255 255 255 255 255 255 255 255 255 255 255 255 255 255   0
116      255 255 255 255 255 255 255 255 255 255 255 189   0   0   0   0
117      255 255 255 255 255 255 255 255 255 246   0   0   0   0   0   0
118      255 255 255 255 255 255 255 255 255 232   0   0   0   0   0   0
119      255 255 255 255 255 255 255 255 255 255  25   0   0   0   0   0
120      255 255 255 255 255 255 255 255 255 255 195   3   0   0   0   0
121      255 255 255 255 255 255 255 255 255 236   3   0   0   0   0   0
122      255 255 255 255 255 255 255 255 255 237   1   0   0   0   0   0
123      255 255 255 255 255 255 255 255 255 201   0   0   0   0   0   0
124      255 255 255 255 255 255 255 255 255 194   0   0   0   0   0   0
125      255 255 255 255 255 255 255 255 255 227   0   0   0   0   0   0
126      255 255 255 255 255 255 255 255 255 242   4   0   0   0   0   0
127      255 255 255 255 255 255 255 255 255 240   0   0   0   0   0   0
