Scanning 127 channels through 16 RSSI levels

        <lower ------------------- rssi levels ------------------- higher>
channel    0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
0        255 255 255 255 255 255 255 255 255 255 255 252 126   0   1   0
1        255 255 255 255 255 255 255 255 229  58   3   0   2   0   1   0
2        255 255 255 255 255 255 255 255 255 255 255 238   3   1   3   3
3        255 255 255 255 255 255 255 255 255 195   2   2   2   1   0   0
4        255 255 255 255 255 255 255 247  86   2   1   0   1   0   0   0
5        255 255 255 255 255 255 255 190   2   2   3   0   1   1   1   1
6        255 255 255 255 255 255 255 181   6   2   2   3   3   2   1   2
7        255 255 255 255 255 255 255 159  16   8   1   0   2   0   0   0
8        255 255 255 255 255 255 255 155  13   6   5   1   3   1   3   1
9        255 255 255 255 255 255 255 201  14   8   4   0   2   0   0   0
10       255 255 255 255 255 255 255 227  17  12   7   3   1   2   0   0
11       255 255 255 255 255 255 255 233  18  12   7   4   3   2   1   1
12       255 255 255 255 255 255 255 254  30   8   2   0   1   0   2   0
13       255 255 255 255 255 255 255 243 139  16   5   1   2   2   1   1
14       255 255 255 255 255 255 255 255 193  14   6   7   1   0   0   0
15       255 255 255 255 255 255 255 255 255 255  26   2   1   1   2   1
16       255 255 255 255 255 255 255 255 255 255 255 255 255 252   1   0
17       255 255 255 255 255 255 255 255 255 255 255 255   1   1   1   1
18       255 255 255 255 255 255 255 255 255   4   2   2   2   0   0   0
19       255 255 255 255 255 255 255 253  31   2   0   1   0   0   0   0
20       255 255 255 255 255 255 255 252  25   6   1   3   1   1   1   0
21       255 255 255 255 255 255 254 196 147  18   5   1   2   0   0   0
22       255 255 255 255 255 255 255 253  17   6   5   4   5   1   0   0
23       255 255 255 255 255 255 255 247  12   7   6   8   3   1   0   0
24       255 255 255 255 255 255 255 250   7   5   9   4   5   2   0   1
25       255 255 255 255 255 255 255 215 129  23   4   4   5   7   0   0
26       255 255 255 255 255 255 255 246  17  11   8   8  10  10   2   2
27       255 255 255 255 255 255 255 233   9   6   4   5   5   0   0   0
28       255 255 255 255 255 255 255 207   8   8   7   5   5   4   0   0
29       255 255 255 255 255 255 255 206   8   9   7   7   5   2   0   0
30       255 255 255 255 255 255 255 255 255 255 255 255  25   2   0   0
31       255 255 255 255 255 255 255 255 141  14  13  12   2   2   1   0
32       255 255 255 255 255 255 255 255 215  13  15   3   2   3   0   0
33       255 255 255 255 255 255 255 125  13   8   4   3   2   3   2   0
34       255 255 255 255 255 255 255 144   8   3   5   4   5   3   0   0
35       255 255 255 255 255 255 254  97   3   2   2   3   2   1   0   0
36       255 255 255 255 255 255 255 100   6   3   2   3   3   1   0   0
37       255 255 255 255 255 255 254 138   4   3   3   3   3   2   2   1
38       255 255 255 255 255 255 255 204  10   7   3   3   3   3   3   3
39       255 255 255 255 255 255 255 195   8   4   4   3   3   2   3   4
40       255 255 255 255 255 255 255 156  11   8   4   8   4   2   3   3
41       255 255 255 255 255 255 255 149   9   4   4   4   5   3   2   3
42       255 255 255 255 255 255 255  82   8   5   4   4   3   4   2   4
43       255 255 255 255 255 255 255 188   9  11   4   2   3   3   4   3
44       255 255 255 255 255 255 255 255 255 255 255 255 255 255   4   3
45       255 255 255 255 255 255 255 255 255 255 255 255 255   4   3   3
46       255 255 255 255 255 255 255 255 255   6   2   4   2   4   4   4
47       255 255 255 255 255 255 255 255 255  10   5   4   3   2   3   4
48       255 255 255 255 255 255 255 255 255 255 133   6   5   3   3   4
49       255 255 255 255 255 255 255 209  33  11   8   5   3   4   2   2
50       255 255 255 255 255 255 255 255 144   9   7   6   3   4   3   3
51       255 255 255 255 255 255 255 225  14   8   8   6   5   6   6   5
52       255 255 255 255 255 255 255  75  12  10   9   8   8   7   7   8
53       255 255 255 255 255 255 254  47  11  12   8   9   8   9   4   3
54       255 255 255 255 255 255 253  62  22  21  13  14  20  16  18  17
55       255 255 255 255 255 255 255 150  17   9  14  11  13  12  10  10
56       255 255 255 255 255 255 254  79   9   9   9   8   7   9   8   7
57       255 255 255 255 255 255 255 190  11  10   9  10   7  10   9   7
58       255 255 255 255 255 255 255 255 255 255 255  42   6   9   9   6
59       255 255 255 255 255 255 255 255 255 255 255 125   9   9   7   7
60       255 255 255 255 255 255 255 255 139  10   8   8   8  11  11   9
61       255 255 255 255 255 255 255 206  12   8   8   9   7  10   7   9
62       255 255 255 255 255 255 255 210   9   9   8   9   8   8   9   8
63       255 255 255 255 255 255 255 228  14  11  11  10  10  10   8   7
64       255 255 255 255 255 255 255 232   9   8   8   9   9   9  11   6
65       255 255 255 255 255 255 255 231  30  28  12  12   6   6   7   5
66       255 255 255 255 255 255 255 255 210  52  30  30   6  11   7   8
67       255 255 255 255 255 255 255 255 255 254 159  12   5   5   4   6
68       255 255 255 255 255 255 255 250 231 191  38   8   6  10   5   7
69       255 255 255 255 255 255 255 249 211  75   9   4   9   8   5   6
70       255 255 255 255 255 255 255 220  14  10   8  10  13   6   6   2
71       255 255 255 255 255 255 255 190   8   7   6   5   6   4   1   1
72       255 255 255 255 255 255 255 255 255 255 255 255 254  16   4   2
73       255 255 255 255 255 255 255 255 255 255 255 255 255 254  11   9
74       255 255 255 255 255 255 255 255 255 255   8   6   5   7   1   0
75       255 255 255 255 255 255 255 255  12   6   6   5   4   3   2   2
76       255 255 255 255 255 255 255 188  11   9  11   8   7   8   4   4
77       255 255 255 255 255 255 255 182   9   9   8   6   4   4   2   0
78       255 255 255 255 255 255 255 190  10   8   9   6   4   1   0   0
79       255 255 255 255 255 255 255 254  32   7   2   0   0   1   1   0
80       255 255 255 255 255 255 255 255 240  15   1   0   1   1   1   1
81       255 255 255 255 255 255 255 150   9   5   1   1   2   2   1   1
82       255 255 255 255 255 255 255 110   0   1   1   0   0   0   1   0
83       255 255 255 255 255 255 255 183   3   2   2   1   0   1   0   1
84       255 255 255 255 255 255 255 173   2   1   0   0   0   0   0   0
85       255 255 255 255 255 255 255 125   1   0   1   1   0   0   0   0
86       255 255 255 255 255 255 255 255 255 229   1   0   0   0   0   0
87       255 255 255 255 255 255 255 255 255 255 255 255 255   0   0   0
88       255 255 255 255 255 255 255 255 255   4   0   0   0   0   0   0
89       255 255 255 255 255 255 255 243   9   0   0   0   0   0   0   0
90       255 255 255 255 255 255 255 219  40   1   0   0   0   0   0   0
91       255 255 255 255 255 255 255 205  15   0   0   0   0   0   0   0
92       255 255 255 255 255 255 255 177  11   0   0   0   0   0   0   0
93       255 255 255 255 255 255 255 199   3   0   0   0   0   0   0   0
94       255 255 255 255 255 255 255 255  26   1   0   0   0   0   0   0
95       255 255 255 255 255 255 255 255 192   0   0   0   0   0   0   0
96       255 255 255 255 255 255 255 249  52   0   0   0   0   0   0   0
97       255 255 255 255 255 255 255 255  81   0   0   0   0   0   0   0
98       255 255 255 255 255 255 255 247  41   7   0   0   0   0   0   0
99       255 255 255 255 255 255 255 247  30   0   0   0   0   0   0   0
100      255 255 255 255 255 255 255 255 255 255  14   0   0   0   0   0
101      255 255 255 255 255 255 255 255 255 255 255 255 255 255 234   0
102      255 255 255 255 255 255 255 255 255 255 255   0   0   0   0   0
103      255 255 255 255 255 255 255 255 254   4   0   0   0   0   0   0
104      255 255 255 255 255 255 255 255 104   0   0   0   0   0   0   0
105      255 255 255 255 255 255 255 250  44   4   0   0   0   0   0   0
106      255 255 255 255 255 255 255 230   1   0   0   0   0   0   0   0
107      255 255 255 255 255 255 255 112   0   0   0   0   0   0   0   0
108      255 255 255 255 255 255 255 151   0   0   0   0   0   0   0   0
109      255 255 255 255 255 255 255 145   0   0   0   0   0   0   0   0
