Scanning 127 channels through 16 RSSI levels

        <lower ------------------- rssi levels ------------------- higher>
channel    0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
0        255 255 255 255 255 255 255 255 255 255 255 215   6   1   0   0
1        255 255 255 255 255 255 255 249 134   1   0   2   0   1   0   0
2        255 255 255 255 255 255 255 255 255 255 255 252  87   0   1   1
3        255 255 255 255 255 255 255 255 255 219   1   0   0   0   1   2
4        255 255 255 255 255 255 255 246   9   1   1   0   0   1   1   1
5        255 255 255 255 255 255 255  70   3   2   1   1   2   1   0   0
6        255 255 255 255 255 255 255  98   8   2   1   0   0   0   0   0
7        255 255 255 255 255 255 255  58  14  10   2   0   1   1   1   1
8        255 255 255 255 255 255 254  70  17  13   9   6   1   0   0   0
9        255 255 255 255 255 255 255 147  14  10   9   5   2   0   1   1
10       255 255 255 255 255 255 254 184  16  12  11   6   5   2   1   0
11       255 255 255 255 255 255 255 208  12  12  11   4   6   0   0   0
12       255 255 255 255 255 255 255 249  14  11   7   4   2   1   1   1
13       255 255 255 255 255 255 255 239 144  20  19  14  10   1   0   0
14       255 255 255 255 255 255 255 254 144  12   7   4   5   3   0   0
15       255 255 255 255 255 255 255 255 254 255  10   3   2   1   1   1
16       255 255 255 255 255 255 255 255 255 255 255 255 255 246   0   0
17       255 255 255 255 255 255 255 255 254 254 255 254   0   0   1   0
18       255 255 255 255 255 255 255 255 253   2   0   1   1   1   1   1
19       255 255 255 255 254 255 253 253  21   3   4   2   1   0   0   0
20       255 255 255 255 255 255 255 251  10   6   1   0   0   0   0   0
21       255 255 255 255 255 255 254 199 149  20   4   0   1   0   0   0
22       255 255 255 255 255 255 255 245  11   5   7   5   1   0   0   0
23       255 255 255 255 255 255 255 237   5   7   4   3   1   0   0   0
24       255 255 255 255 255 255 255 242  31  14  10  10  10   2   1   0
25       255 255 255 255 255 255 255 202 124  18   3   4   7   3   1   0
26       255 255 255 255 255 255 255 234  17   5   5   4   4   4   0   1
27       255 255 255 255 255 254 253 215   9   5   7   5   5   0   1   0
28       255 255 255 255 255 254 255 191  14  12  13  12  11   6   0   0
29       255 255 255 255 255 255 255 186   8   9   5   4   4   1   0   0
30       255 255 255 255 255 255 255 255 255 255 255 252   3   0   1   0
31       255 255 255 255 255 255 255 255  56   8   7   4   0   0   0   0
32       255 255 255 255 255 255 255 254 164  13   6   3   3   0   0   0
33       255 255 255 255 255 255 254  88  14   8   5   4   1   3   0   1
34       255 255 255 255 255 255 255 100   4   2   2   4   3   1   0   0
35       255 255 255 255 255 254 255  84   2   3   4   3   0   0   0   0
36       255 255 255 255 255 255 253 102   3   3   2   3   3   0   0   1
37       255 255 255 255 255 255 253 133   9   2   3   3   3   4   0   0
38       255 255 255 255 255 255 254 183   8   4   3   4   2   3   3   0
39       255 255 255 255 255 255 254 169   4   5   4   3   3   2   3   3
40       255 255 255 255 255 255 255 122  13   3   5   3   2   2   2   3
41       255 255 255 255 255 255 255 118   8   3   3   3   4   3   3   3
42       255 255 255 255 255 255 255  69   5   5   4   3   3   2   3   2
43       255 255 255 255 255 255 255 188   6   2   4   2   3   2   3   4
44       255 255 255 255 255 255 255 255 255 255 255 255 255 254   2   3
45       255 255 255 255 255 255 255 255 255 255 255 255 255   6   4   2
46       255 255 255 255 255 255 255 255 255   7   3   3   3   3   3   2
47       255 255 255 255 255 255 255 255 252   4   4   3   3   3   2   2
48       255 255 255 255 255 255 255 255 255 254  97   3   3   3   3   2
49       255 255 255 255 255 255 255 242 106  25  14   3   3   3   3   3
50       255 255 255 255 255 255 255 253 182  15   4   3   3   4   3   3
51       255 255 255 255 255 255 255 220  22   6   8   7   3   3   3   3
52       255 255 255 255 255 255 255  39   8   9   7   8   5   3   3   2
53       255 255 255 255 255 255 253  26  10  11  10  12  12   5   4   3
54       255 255 255 255 255 255 254  63   9  12  10  11   8   6   3   2
55       255 255 255 255 255 255 255 111   8   8   7  10  13  11  11   2
56       255 255 255 255 255 254 253  67  11  12   8   9   8   7   5   3
57       255 255 255 255 255 255 254 164  11  11  12  11  11   8   8   5
58       255 255 255 255 255 255 255 255 255 255 255 200   6   5   5   5
59       255 255 255 255 255 255 255 254 254 255 255 245   6   6   7   6
60       255 255 255 255 255 255 254 255  93  11   9   7  10   8   8   4
61       255 255 255 255 255 255 255 154   8   9   9   9   8   9   9   5
62       255 255 255 255 255 255 255 165   8  10   8  10  11   9   7   6
63       255 255 255 255 255 255 255 190  11   8   8  13   9   6   7   6
64       255 255 255 255 255 255 255 206  11  11   8   6   7   6   8   7
65       255 255 255 255 255 255 255 152  18  10   5   5   5   7   6   4
66       255 255 255 255 255 255 255 251  66  27  18  16   9   6   8   7
67       255 255 255 255 255 255 255 255 255 117   8   7   5   5   7   7
68       255 255 255 255 255 255 255 239 210  30  10   6   7   6   5   5
69       255 255 255 255 255 255 255 245  86  10   7   6   5   7   3   0
70       255 255 255 255 255 255 253 159  12   8   5   7   8   5   1   1
71       255 255 255 255 255 255 255 128   9  11   7   4   0   0   0   0
72       255 255 255 255 255 255 255 255 255 254 255 253 247   0   0   0
73       255 255 255 255 255 255 255 255 255 255 255 254 252 248   0   0
74       255 255 255 255 255 255 255 255 254 255   5   1   1   0   1   0
75       255 255 255 255 255 255 255 254   3   3   7   4   2   1   1   0
76       255 255 255 255 255 255 255 149  13   5   7   5   2   1   0   0
77       255 255 255 255 255 255 254  89  11   8   5   4   0   1   0   0
78       255 255 255 255 255 255 255  90   1   4   2   1   1   1   0   0
79       255 255 255 255 255 255 255 247  12   2   1   1   0   0   0   0
80       255 255 255 255 255 255 255 255 188   8   6   5   4   5   1   0
81       255 255 255 255 255 255 254 138   2   0   2   1   0   1   1   0
82       255 255 255 255 255 255 255 102   0   0   2   0   0   0   0   0
83       255 255 255 255 255 255 255 149   5   2   0   2   1   0   0   0
84       255 255 255 255 255 255 255 122   3   1   1   0   0   0   0   0
85       255 255 255 255 255 255 255  75   2   1   1   1   0   0   0   0
86       255 255 255 255 255 255 255 255 255 233   0   0   0   0   0   0
87       255 255 255 255 255 255 255 255 255 255 254 255 255   0   0   0
88       255 255 255 255 255 255 253 252 254   3   0   0   0   0   0   0
89       255 255 255 255 255 255 254 238   3   0   0   0   0   0   0   0
90       255 255 255 255 255 255 255 205  41   0   0   0   0   0   0   0
91       255 255 255 255 255 255 255 199  23   0   0   0   0   0   0   0
92       255 255 255 255 255 255 255 135  11   0   0   1   0   0   0   0
93       255 255 255 255 255 255 255 136   0   0   0   0   0   0   0   0
94       255 255 255 255 255 255 255 249  10   0   0   0   0   0   0   0
95       255 255 255 255 255 255 255 254 127   0   0   0   0   0   0   0
96       255 255 255 255 255 255 255 246   1   0   0   0   0   0   0   0
97       255 255 255 255 255 255 255 215   0   0   0   0   0   0   0   0
98       255 255 255 255 255 255 255 216   0   0   0   0   0   0   0   0
99       255 255 255 255 255 255 255 197   1   0   0   0   0   0   0   0
100      255 255 255 255 255 255 255 255 255 248   0   0   0   0   0   0
101      255 255 255 255 255 255 255 255 255 255 255 255 255 255 124   0
102      255 255 255 255 255 255 255 255 255 255 255   0   0   0   0   0
103      255 255 255 255 255 255 255 255 231   0   0   0   0   0   0   0
