Scanning 127 channels through 16 RSSI levels

        <lower ------------------- rssi levels ------------------- higher>
channel    0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
0        255 255 255 255 255 255 255 255 255 255 255 254 255 252 134   0
1        255 255 255 255 255 255 255 255 255 255 254 141   2   0   1   0
2        255 255 255 255 255 255 255 255 255 255 255 255 251  47   1   0
3        255 255 255 255 255 255 255 255 255 255 254  81   1   0   1   1
4        255 255 255 255 255 255 255 255 255 253 111   3   1   0   2   2
5        255 255 255 255 255 255 255 255 255 222   5   2   2   2   3   2
6        255 255 255 255 255 255 255 255 255 208   5   2   3   2   2   1
7        255 255 255 255 255 255 255 255 254 208  11   3   3   0   0   0
8        255 255 255 255 255 255 255 255 255 204   9   5   0   0   0   3
9        255 255 255 255 255 255 255 255 255 214  10   7   1   0   0   0
10       255 255 255 255 255 255 255 253 254 232  11  12   2   1   1   1
11       255 255 255 255 255 255 255 254 251 233  16  10   3   2   1   1
12       255 255 255 255 255 255 255 254 253 252  60   7   2   3   1   0
13       255 255 255 255 255 255 255 255 255 235 141  18   2   2   1   0
14       255 255 255 255 255 255 255 255 255 252 173   4   3   0   0   1
15       255 255 255 255 255 255 255 255 255 255 255 254  92   1   2   2
16       255 255 255 255 255 255 255 255 255 255 255 255 255 254 254 217
17       255 255 255 255 255 255 255 255 255 255 255 254 255 253   0   0
18       255 255 255 255 255 255 255 255 254 254 253   3   0   2   0   0
19       255 255 255 255 255 255 255 255 254 250  27   1   0   0   1   1
20       255 255 255 255 255 255 255 255 254 253  45   6   4   3   1   0
21       255 255 255 255 255 255 255 255 254 200 140  20   1   0   0   0
22       255 255 255 255 255 255 255 255 255 251  25   4   6   4   0   0
23       255 255 255 255 255 255 255 255 255 252  31   7   7   5   2   0
24       255 255 255 255 255 255 255 254 255 250  21  11  12  10   6   0
25       255 255 255 255 255 255 255 255 255 234 131  25   8   7   2   1
26       255 255 255 255 255 255 254 255 255 248  25   8   6  11   5   0
27       255 255 255 255 255 255 255 255 255 239  17   7   6   0   2   0
28       255 255 255 255 255 255 255 255 254 225  10  10   5   4   2   0
29       255 255 255 255 255 255 255 255 254 229  11   8  10   6   0   0
30       255 255 255 255 255 255 255 255 255 255 255 255 255 254   0   2
31       255 255 255 255 255 255 255 255 255 255 119  12  13   3   2   3
32       255 255 255 255 255 255 255 255 255 255 160   5   3   5   3   2
33       255 255 255 255 255 255 255 255 255 165   5   3   4   4   4   3
34       255 255 255 255 255 255 253 255 255 209   3   3   5   5   4   3
35       255 255 255 255 255 255 255 255 255 140   6   2   3   1   4   0
36       255 255 255 255 255 255 255 255 255 156   3   4   4   3   3   3
37       255 255 255 255 255 255 255 255 255 179   7   5   4   3   3   2
38       255 255 255 255 255 255 255 255 255 235   8   4   4   3   3   3
39       255 255 255 255 255 255 255 255 255 232  11   3   4   4   4   3
40       255 255 255 255 255 255 255 255 255 208   3   4   4   3   4   3
41       255 255 255 255 255 255 255 255 255 207   5   7   3   2   2   2
42       255 255 255 255 255 255 255 254 255 154   6   3   4   4   3   2
43       255 255 255 255 255 255 255 255 255 245  18  11   5   7   7   7
44       255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 253
45       255 255 255 255 255 255 255 255 255 255 255 255 255 255 254   3
46       255 255 255 255 255 255 255 255 254 254 255   7   5   3   3   5
47       255 255 255 255 255 255 255 255 255 255 254   7   4   3   4   3
48       255 255 255 255 255 255 255 255 255 255 255 255 239   7   6   4
49       255 255 255 255 255 255 255 255 255 236  30   8   5   3   3   2
50       255 255 255 255 255 255 255 255 255 253 103  10  12   6   4   3
51       255 255 255 255 255 255 255 255 255 228  24  10  10   9   7   5
52       255 255 255 255 255 255 255 255 254 136   8   9  11   7   6   5
53       255 255 255 255 255 255 255 255 254 104  11  12  10  12   9   7
54       255 255 255 255 255 255 255 255 253 102  10  10  10  10   9   9
55       255 255 255 255 255 255 255 255 255 209  10   7  10   9   9   9
56       255 255 255 255 255 255 255 255 254 153  10   9   9  11   7   5
57       255 255 255 255 255 255 255 255 255 228  12  13   9  12  12   8
58       255 255 255 255 255 255 255 255 255 254 255 255 255 106  16  12
59       255 255 255 255 255 255 255 255 255 255 255 255 255  62   9   6
60       255 255 255 255 255 255 255 255 255 254  83  11  10  10  11  10
61       255 255 255 255 255 255 255 255 255 186  13  12  11   9   8   7
62       255 255 255 255 255 255 255 255 255 220  13   9  10   8  11  10
63       255 255 255 255 255 255 255 255 255 229  11   9   7   9   9   7
64       255 255 255 255 255 255 255 255 255 224  16  12  12   8   8   9
65       255 255 255 255 255 255 255 255 255 218  32  15   6   5   5   6
66       255 255 255 255 255 255 255 255 254 249 110  31  34  25   7   7
