Scanning 127 channels through 16 RSSI levels

        <lower ------------------- rssi levels ------------------- higher>
channel    0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
0        255 255 255 255 255 255 255 255 255 255 255 255 155   0   0   0
1        255 255 255 255 255 255 255 255 247  13   1   0   0   1   0   0
2        255 255 255 255 255 255 255 255 255 255 255 162   1   0   1   0
3        255 255 255 255 255 255 255 255 255 228   0   0   1   0   1   0
4        255 255 255 255 255 255 255 255 250  15   2   1   0   0   0   0
5        255 255 255 255 255 255 255 255 251  22   6   6   1   1   0   0
6        255 255 255 255 255 255 255 255 254  43   7   7   8   5   0   0
7        255 255 255 255 255 255 255 255 254  65  29   6   6   6   7   1
8        255 255 255 255 255 255 255 255 254 101  37  40  39  34  13  14
9        255 255 255 255 255 255 255 255 255 148  34  32  33  30  31  14
10       255 255 255 255 255 255 255 255 254 194  34  30  32  24   5   5
11       255 255 255 255 255 255 255 255 255 207   7   6   7   8   7   6
12       255 255 255 255 255 255 255 255 255 253  14   7   6   7   5   5
13       255 255 255 255 255 255 255 255 255 246 135  49   6   6   6   5
14       255 255 255 255 255 255 255 255 255 255 161   7   6   6   6   6
15       255 255 255 255 255 255 255 255 255 255 255 255 255   6   6   6
16       255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 253
17       255 255 255 255 255 255 255 255 255 255 255 255 255 255  89   0
18       255 255 255 255 255 255 255 255 255 255 255  17   0   0   0   0
19       255 255 255 255 255 255 255 255 255 249   6   0   3   0   0   0
20       255 255 255 255 255 255 255 255 255 246  10   1   2   1   1   0
21       255 255 255 255 255 255 255 255 254 193  81   2   0   0   0   0
22       255 255 255 255 255 255 255 255 255 235   8   6   4   0   0   0
23       255 255 255 255 255 255 255 255 255 243   7  10   8   5   0   0
24       255 255 255 255 255 255 255 255 255 235   7   8   7   9   3   3
25       255 255 255 255 255 255 255 255 254 207 100   8   6   8   2   3
26       255 255 255 255 255 255 255 255 255 219   7  10   8   8  11   2
27       255 255 255 255 255 255 255 255 255 229   8   7   8   6   3   3
28       255 255 255 255 255 255 255 255 255 195  12  11  12  10   7   3
29       255 255 255 255 255 255 255 255 254 137   8   9  10   9   6   2
30       255 255 255 255 255 255 255 255 255 255 255 243  43  10   4   3
31       255 255 255 255 255 255 255 255 255 205   8   7   4   5   3   3
32       255 255 255 255 255 255 255 255 255 255 255 241   9   3   3   3
33       255 255 255 255 255 255 255 255 254  55   8   4   3   2   3   2
34       255 255 255 255 255 255 255 255 254 101   4   3   3   3   2   3
35       255 255 255 255 255 255 255 255 254  48   3   4   3   4   3   3
36       255 255 255 255 255 255 255 255 254  34   4   3   2   3   2   3
37       255 255 255 255 255 255 255 255 252 101   4   2   3   3   2   2
38       255 255 255 255 255 255 255 255 255 230   9   2   3   4   4   3
39       255 255 255 255 255 255 255 255 255 208   8   4   3   2   3   2
40       255 255 255 255 255 255 255 255 255 185   8   4   3   3   2   3
41       255 255 255 255 255 255 255 255 255 207   8   3   2   0   0   0
42       255 255 255 255 255 255 255 255 255  88   6   6   3   1   0   0
43       255 255 255 255 255 255 255 255 255 247   6   5   3   2   1   0
44       255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254
45       255 255 255 255 255 255 255 255 255 255 255 255 255 255 255   0
46       255 255 255 255 255 255 255 255 255 255 255   7   6   5   3   3
47       255 255 255 255 255 255 255 255 255 255 255 255   5   5   3   5
48       255 255 255 255 255 255 255 255 255 255 255 255 255 254   6   4
49       255 255 255 255 255 255 255 255 255 238  76  19  14   6   5   4
50       255 255 255 255 255 255 255 255 255 254 134   6   6   5   6   5
51       255 255 255 255 255 255 255 255 255 227  26   5   6   5   5   4
52       255 255 255 255 255 255 255 255 253 111   6   5   5   8   5   4
53       255 255 255 255 255 255 255 255 252  23   7   6   5   7   7   5
54       255 255 255 255 255 255 255 255 253  30   8   8  10   9   7   8
55       255 255 255 255 255 255 255 255 255 154   5   8   6   4   6   5
56       255 255 255 255 255 255 255 255 255  84   6   5   5   6   6   6
57       255 255 255 255 255 255 255 255 254 148  13   6   6   6   6   5
58       255 255 255 255 255 255 255 255 255 255 255 226  13   8   8   9
59       255 255 255 255 255 255 255 255 255 255 255 234  12   5   6   4
60       255 255 255 255 255 255 255 255 255 209  11   9  10   6   5   6
61       255 255 255 255 255 255 255 255 254  85  14  12  12   6   7   5
62       255 255 255 255 255 255 255 255 255 173  12  11   4   6   5   5
63       255 255 255 255 255 255 255 255 255 254  28  14  10   7   5   6
64       255 255 255 255 255 255 255 255 255 255 229  12   6   5   6   4
65       255 255 255 255 255 255 255 255 255 147  33   9   5   5   5   6
66       255 255 255 255 255 255 255 255 255 251  73  29   6  31   4   1
67       255 255 255 255 255 255 255 255 255 255 255 185  29  24   0   0
68       255 255 255 255 255 255 255 255 255 244 227  88  11   8   1   2
69       255 255 255 255 255 255 255 255 255 244 171  10   6   7   4   0
70       255 255 255 255 255 255 255 255 255 190  13   7   2   4   1   0
71       255 255 255 255 255 255 255 255 254 150   9   6   6   6   3   0
72       255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 247
73       255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 250
74       255 255 255 255 255 255 255 255 255 255 255 255 250   0   1   1
75       255 255 255 255 255 255 255 255 255 255   6   1   2   0   0   0
76       255 255 255 255 255 255 255 255 255 111   3   5   0   1   0   0
77       255 255 255 255 255 255 255 255 255 166   3   0   0   0   0   0
78       255 255 255 255 255 255 255 255 255 174   8   0   0   1   1   0
79       255 255 255 255 255 255 255 255 255 255 247   2   2   1   0   1
80       255 255 255 255 255 255 255 255 255 255 255 254 228   2   0   0
81       255 255 255 255 255 255 255 255 254  79   2   0   1   0   2   0
82       255 255 255 255 255 255 255 255 254  61   1   1   0   1   0   0
83       255 255 255 255 255 255 255 255 255 186   1   2   0   0   0   0
84       255 255 255 255 255 255 255 255 255 170   0   2   0   0   0   0
85       255 255 255 255 255 255 255 255 255 149   1   0   0   0   0   0
86       255 255 255 255 255 255 255 255 255 255 241   0   0   0   0   0
87       255 255 255 255 255 255 255 255 255 255 254 255 253 144   0   0
88       255 255 255 255 255 255 255 255 255 255  38   0   0   0   0   0
89       255 255 255 255 255 255 255 255 255 158   0   0   0   0   0   0
90       255 255 255 255 255 255 255 255 253 157   0   0   0   0   0   0
91       255 255 255 255 255 255 255 255 255 112   0   0   0   0   0   0
92       255 255 255 255 255 255 255 255 254 106   0   0   0   0   0   0
93       255 255 255 255 255 255 255 255 255  92   1   0   0   0   0   0
94       255 255 255 255 255 255 255 255 255 235   0   0   0   0   0   0
95       255 255 255 255 255 255 255 255 255 254  36   0   0   0   0   0
