Scanning 127 channels through 16 RSSI levels

        <lower ------------------- rssi levels ------------------- higher>
channel    0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
0        255 255 255 255 255 255 255 255 255 255 253 165   4   1   0   0
1        255 255 255 255 255 255 255 252 136   3   2   0   0   1   1   1
2        255 255 255 255 255 255 255 255 255 255 254  43   0   1   0   0
3        255 255 255 255 255 255 255 255 254   2   1   0   3   0   0   1
4        255 255 255 255 255 255 255 229   5   1   0   0   0   0   0   0
5        255 255 255 255 255 255 255 122   4   1   0   0   1   0   0   1
6        255 255 255 255 255 255 254  86   2   0   0   1   2   1   1   1
7        255 255 255 255 255 255 255  63   7   8   2   0   2   1   1   1
8        255 255 255 255 255 255 254 104   9   5   3   2   2   3   2   1
9        255 255 255 255 255 255 255 124  13   7   1   1   3   2   0   0
10       255 255 255 255 255 255 252 170  13  11   3   1   1   1   0   0
11       255 255 255 255 255 255 253 193  16  12   4   1   0   0   0   0
12       255 255 255 255 255 255 255 250  13   7   1   0   0   1   0   0
13       255 255 255 255 255 255 255 209 130  14   0   0   0   0   0   0
14       255 255 255 255 255 255 255 255 107  12   4   0   1   0   1   1
15       255 255 255 255 255 255 255 255 255 254   6   0   2   1   1   1
16       255 255 255 255 255 255 255 255 255 255 255 254 255 253   2   1
17       255 255 255 255 255 255 255 255 255 255 255 255   1   0   0   0
18       255 255 255 255 255 255 255 255 254   3   5   2   4   2   1   1
19       255 255 255 255 255 255 255 250  15   1   0   0   0   1   0   0
20       255 255 255 255 255 255 255 242   9   0   2   0   0   0   0   0
21       255 255 255 255 255 255 253 201  94   0   0   0   0   0   0   0
22       255 255 255 255 255 255 255 235  14   3   0   2   1   0   0   0
23       255 255 255 255 255 255 255 235   8   7   2   0   0   0   0   0
24       255 255 255 255 255 255 255 222   6   7   3   0   2   2   2   0
25       255 255 255 255 255 255 255 198 120   7   7   4   2   2   0   1
26       255 255 255 255 255 255 255 218  12   8   7   4   0   0   1   0
27       255 255 255 255 255 255 255 203   9   6   3   1   0   0   0   1
28       255 255 255 255 255 255 255 156   4   5   5   1   1   1   0   0
29       255 255 255 255 255 255 255 140   6   6   4   0   0   0   0   0
30       255 255 255 255 255 255 255 255 255 255 255 134   1   1   2   1
31       255 255 255 255 255 255 255 254 135   7   0   0   0   0   0   0
32       255 255 255 255 255 255 255 255  78   3   1   0   1   0   1   0
33       255 255 255 255 255 255 254  55   3   0   0   0   0   1   0   0
34       255 255 255 255 255 255 255  73   4   2   1   0   2   1   0   0
35       255 255 255 255 255 255 254  31   4   0   3   0   0   0   0   0
36       255 255 255 255 255 255 255  30   5   3   4   1   2   0   0   0
37       255 255 255 255 255 255 252  61   4   3   4   3   3   1   0   0
38       255 255 255 255 255 255 255 176   8   5   4   3   3   2   0   0
39       255 255 255 255 255 255 255 209  10   4   4   3   2   3   3   0
40       255 255 255 255 255 255 255 133  10   4   2   4   4   7   4   3
41       255 255 255 255 255 255 255 105  12   8   5   4   4   3   3   3
42       255 255 255 255 255 255 254  40   9   4   4   4   2   3   4   3
43       255 255 255 255 255 255 254 141   5   3   2   4   3   2   3   3
44       255 255 255 255 255 255 255 255 255 255 255 255 255 255   3   3
45       255 255 255 255 255 255 255 255 255 255 255 255 254   4   2   2
46       255 255 255 255 255 255 255 255 254   7   4   3   3   4   2   1
47       255 255 255 255 255 255 255 255 253   6   7   3   3   3   3   3
48       255 255 255 255 255 255 255 255 255 254 114   4   3   4   3   3
49       255 255 255 255 255 255 255 204  14   3   2   4   3   5   3   3
50       255 255 255 255 255 255 255 246 190   8   6   4   2   3   3   2
51       255 255 255 255 255 255 255 241 195 184  15   3   4   2   3   2
52       255 255 255 255 255 255 255 222 207 203 209 202 160   5   3   2
