Scanning 127 channels through 16 RSSI levels

        <lower ------------------- rssi levels ------------------- higher>
channel    0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
0          3   2   1   1   3   1   1   2   3   2   1   1   2   2   1   1
1          2   2   3   2   1   1   1   5   3   0   0   1   1   5   5   1
2          4   2   0   2   0   1   2   2   2   4   2   2   5   3   3   4
3          0   0   0   0   0   0   1   0   1   4   1   1   1   0   0   0
4          0   0   0   0   0   0   0   0   0   1   1   1   1   1   1   0
5          2   1   1   0   0   0   0   0   0   0   0   1   1   1   2   2
6          1   1   1   1   1   0   0   0   0   0   0   0   0   0   0   2
7          4   4   3   3   3   3   3   2   3   3   4   3   4   5   4   3
8          7   6   7   8   8   8   9   9   8   7   7   5   5   5   5   6
9         10   9   9   7   7   8   9  10  10  12  14  13  15  13  11  12
10         7   7   7   6   7   7   5   6   7   5   7   7   7   8   7   7
11         6   5   6   6   7   6   6   6   7   6   7   7   7   7   7   7
12         7   8   8   7   6   6   4   5   5   5   6   6   6   8   8   8
13         7   8   8   7   7   6   6   6   5   5   5   4   4   5   6   7
14         8   8   8   7   8   9   8   8   9   8   9  10  10   9   9   9
15         7   8   7   6   7   7   6   6   5   5   4   5   6   6   6   8
16         5   6   7   5   5   7   7   7   9   9   8   9   8   6   7   6
17         2   2   2   2   1   2   2   4   3   3   4   5   5   6   4   3
18         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
19         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
20         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
21         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
22         0   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0
23         0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0
24         1   0   0   0   0   0   1   0   2   0   1   0   0   0   0   3
25         1   1   0   1   0   0   0   1   1   0   1   0   0   2   0   0
26         1   0   0   1   0   0   0   1   1   0   1   1   0   1   1   0
27         1   0   0   0   2   1   0   1   0   0   1   0   0   0   1   0
28         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
29         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
30         0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0
31         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
32         0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
33         0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
34         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
35         0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
36         0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0
37         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
38         1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
39         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
40         4   3   4   4   3   3   4   2   2   3   2   2   3   3   3   5
41         0   1   1   1   1   1   1   2   1   1   1   2   2   1   1   0
42         4   3   4   4   3   2   3   2   2   3   2   2   3   3   3   4
43         2   2   2   2   2   3   3   3   3   3   3   3   2   2   3   2
44         3   2   3   2   2   4   2   2   4   3   2   4   3   3   4   4
45         2   4   3   3   5   3   3   4   3   3   2   2   3   2   3   2
46        10   8   9   9   7   9   8   7   7   7   7   9   8   9   9   9
47         8   7   9  12  13  10  12  13  13  12  12  12  12  11  10  10
48         2   2   3   2   2   2   3   3   3   4   3   3   4   3   3   4
49         4   5   3   4   5   4   3   3   4   3   4   4   3   5   6   3
50         9   9   7   8   7   8   8   9   9   8   8   9  10  10   9   9
51         8   7   7   8   8  10   9   9  10   9  10   8   6   7   6   6
52        10  10   9   7   8   6   7   8   9  11  11  10  12  12  10   8
53         9   8   9  10   8  10   9   8   8   8   8   8   8   8   8   8
54         8   7   7   7   6   8   9   8  10   9   8   8   9   8   8   9
55         8  10   8   8   7   6   6   5   5   5   5   8   8   7   8   9
56         6   6   6   6   5   5   6   7   7   6   7   6   6   6   5   6
57         6   7   6   6   8   7   6   6   7   6   4   4   5   6   6   5
58         5   5   5   5   5   6   6   5   6   6   6   7   7   7   7   5
59         6   7   6   7   6   5   6   7   7   6   7   7   7   7   6   7
60         4   6   5   6   7   7   7   7   7   6   6   5   5   5   4   4
61         8   8   8   7   6   5   4   5   4   5   5   5   6   6   7   9
62         4   5   6   7   7   6   7   9   8   7   6   6   5   5   6   5
63         7   6   5   5   6   5   5   5   5   5   4   4   5   6   5   6
64         0   0   2   2   3   5   5   5   4   5   5   2   3   3   1   0
65         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1
66         0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0
67         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1
68         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
69         0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0
70         0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
71         1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
72         0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0
73         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
74         0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0
75         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
76         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
77         0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0
78         1   0   1   0   2   1   0   0   0   0   0   0   1   2   0   1
79         1   1   0   0   0   0   0   2   0   0   2   0   0   2   1   0
80         0   1   1   0   0   0   2   0   1   0   0   1   0   1   0   0
81         0   0   0   1   0   0   0   1   0   0   1   1   0   0   0   0
82         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
83         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
84         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
85         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
86         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
87         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
88         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
89         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
90         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
91         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
92         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
93         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
94         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
95         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
96         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
97         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
98         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
99         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
100        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
101        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
102        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
103        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
104        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
105        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
106        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
107        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
108        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
109        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
110        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
111        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
112        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
113        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
114        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
115        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
116        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
117        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
118        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
119        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
120        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
121        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
122        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
123        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
124        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
125        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
126        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
127        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
press any key to continue ...
